Author;Title;Year;Journal;H_index;RefPerDoc
"Yao, Zhaolin; Wang, Yijun; Yang, Chen; Pei, Weihua; Gao, Xiaorong; Chen, Hongda";An online brain-computer interface in mobile virtual reality environments;2019;INTEGRATED COMPUTER-AIDED ENGINEERING;45;51,74
"Liang, Zhipeng; Zhou, Keping; Gao, Kaixin";Development of Virtual Reality Serious Game for Underground Rock-Related Hazards Safety Training;2019;IEEE ACCESS;158;45,40
"Zeng Zongshun; Ma Xiaozhe; Zhang Fang; Zhu Jing; Avakaw, Syarhei; Huang Huijle";Miniaturization design of head-mounted display optical system based on double threshold method for virtual reality;2019;OPTIK;79;34,57
"Han, Jungmin; Suk, Hyeon-Jeong";Do users Perceive the same image differently? Comparison of OLED and LCD in mobile HMDs and smartphones;2019;JOURNAL OF INFORMATION DISPLAY;24;42,45
"Chang, Chen-Wei; Yeh, Shih-Ching; Li, Mengtong; Yao, Eason";The Introduction of a Novel Virtual Reality Training System for Gynecology Learning and Its User Experience Research;2019;IEEE ACCESS;158;45,40
"El-Seoud, Samir A.; Mady, Amr S.; Rashed, Essam A.";An Interactive Mixed Reality Ray Tracing Rendering Mobile Application of Medical Data in Minimally Invasive Surgeries;2019;INTERNATIONAL JOURNAL OF ONLINE AND BIOMEDICAL ENGINEERING;10;31,97
"Avola, Danilo; Cinque, Luigi; Foresti, Gian Luca; Marini, Marco Raoul";An interactive and low-cost full body rehabilitation framework based on 3D immersive serious games;2019;JOURNAL OF BIOMEDICAL INFORMATICS;112;52,17
"Laaki, Heikki; Miche, Yoan; Tammi, Kari";Prototyping a Digital Twin for Real Time Remote Control Over Mobile Networks: Application of Remote Surgery;2019;IEEE ACCESS;158;45,40
"Kim, J. Y.; Lee, W. H.";Walking Simulation for VR Game Character Using Remote Sensoring Device Based on AHRS-Motion Recognition;2019;IEEE ACCESS;158;45,40
"Chen, Xiaoming; Chen, Zhibo; Li, Ye; He, Tianyu; Hou, Junhui; Liu, Sen; He, Ying";ImmerTai: Immersive Motion Learning in VR Environments;2019;JOURNAL OF VISUAL COMMUNICATION AND IMAGE REPRESENTATION;84;50,06
"Zeroth, Julia A.; Dahlquist, Lynnda M.; Foxen-Craft, Emily C.";The effects of auditory background noise and virtual reality technology on video game distraction analgesia;2019;SCANDINAVIAN JOURNAL OF PAIN;28;45,44
"Yu, Mengli; Zhou, Ronggang; Wang, Huiwen; Zhao, Weihua";An evaluation for VR glasses system user experience: The influence factors of interactive operation and motion sickness;2019;APPLIED ERGONOMICS;107;49,78
"Agrawal, Ravi; Knodler, Michael; Fisher, Donald L.; Samuel, Siby";Virtual Reality Headset Training: Can It Be Used to Improve Young Drivers' Latent Hazard Anticipation and Mitigation Skills;2018;TRANSPORTATION RESEARCH RECORD;131;33,34
"Nguyen, Brian J.; Khurana, Aman; Bagley, Brendon; Yen, Andrew; Brown, Richard K. J.; Stojanovska, Jadranka; Cline, Michael; Goodsitt, Mitchell; Obrzut, Sebastian";Evaluation of Virtual Reality for Detection of Lung Nodules on Computed Tomography;2018;TOMOGRAPHY;14;32,16
"Khan, Muhammad Sikandar Lal; Halawani, Alaa; Rehman, Shafiq Ur; Li, Haibo";Action Augmented Real Virtuality: A Design for Presence;2018;IEEE TRANSACTIONS ON COGNITIVE AND DEVELOPMENTAL SYSTEMS;43;23,69
"Soltan, Ahmed; Barrett, John Martin; Maaskant, Pleun; Armstrong, Niall; Al-Atabany, Walid; Chaudet, Lionel; Neil, Mark; Sernagor, Evelyne; Degenaar, Patrick";A head mounted device stimulator for optogenetic retinal prosthesis;2018;JOURNAL OF NEURAL ENGINEERING;120;63,94
"Atzori, Barbara; Grotto, Rosapia Lauro; Giugni, Andrea; Calabro, Massimo; Alhalabi, Wadee; Hoffman, Hunter G.";Virtual Reality Analgesia for Pediatric Dental Patients;2018;FRONTIERS IN PSYCHOLOGY;133;64,70
"Kersten, Thomas Peter; Tschirschwitz, Felix; Lindstaedt, Maren; Deggim, Simon";The historic wooden model of Solomon's Temple 3D recording, modelling and immersive virtual reality visualisation;2018;JOURNAL OF CULTURAL HERITAGE MANAGEMENT AND SUSTAINABLE DEVELOPMENT;18;49,01
"Cipresso, Pietro; Chicchi Giglioli, Irene Alice; Alcaniz Raya, Mariano; Riva, Giuseppe";The Past, Present, and Future o f Virtual and Augmented Reality Research: A Network and Cluster Analysis of the Literature;2018;FRONTIERS IN PSYCHOLOGY;133;64,70
"Elor, Aviv; Teodorescu, Mircea; Kurniawan, Sri";Project Star Catcher: A Novel Immersive Virtual Reality Experience for Upper Limb Rehabilitation;2018;ACM TRANSACTIONS ON ACCESSIBLE COMPUTING;31;76,04
"Cha, Young-Woon; Price, True; Wei, Zhen; Lu, Xinran; Rewkowski, Nicholas; Chabra, Rohan; Qin, Zihe; Kim, Hyounghun; Su, Zhaoqi; Liu, Yebin; Ilie, Adrian; State, Andrei; Xu, Zhenlin; Frahm, Jan-Michael; Fuchs, Henry";Towards Fully Mobile 3D Face, Body, and Environment Capture Using Only Head-worn Cameras;2018;IEEE TRANSACTIONS ON VISUALIZATION AND COMPUTER GRAPHICS;148;38,90
"Niwa, Kenta; Hioka, Yusuke; Uematsu, Hisashi";Efficient Audio Rendering Using Angular Region-Wise Source Enhancement for 360 degrees Video;2018;IEEE TRANSACTIONS ON MULTIMEDIA;135;29,21
"Boylan, Patrick; Kirwan, Grainne H.; Rooney, Brendan";Self-reported discomfort when using commercially targeted virtual reality equipment in discomfort distraction;2018;VIRTUAL REALITY;51;59,84
"Nanjappan, Vijayakumar; Liang, Hai-Ning; Lu, Feiyu; Papangelis, Konstantinos; Yue, Yong; Man, Ka Lok";User-elicited dual-hand interactions for manipulating 3D objects in virtual reality environments;2018;HUMAN-CENTRIC COMPUTING AND INFORMATION SCIENCES;40;37,91
Shattuck, David W.;Multiuser virtual reality environment for visualising neuroimaging data;2018;HEALTHCARE TECHNOLOGY LETTERS;24;31,26
"Avola, Danilo; Cinque, Luigi; Foresti, Gian Luca; Marini, Marco Raoul; Pannone, Daniele";VRheab: a fully immersive motor rehabilitation system based on recurrent neural network;2018;MULTIMEDIA TOOLS AND APPLICATIONS;80;45,20
"Kim, Hyunjeong; Park, Jin Young; Kim, Kwanguk (Kenny)";Spatial Learning and Memory Using a Radial Arm Maze with a Head-Mounted Display;2018;PSYCHIATRY INVESTIGATION;42;44,21
"Shafer, Daniel M.; Carbonara, Corey P.; Korpi, Michael F.";Factors Affecting Enjoyment of Virtual Reality Games: A Comparison Involving Consumer-Grade Virtual Reality Technology;2019;GAMES FOR HEALTH JOURNAL;35;43,12
"Dennison, Mark; D'Zmura, Michael";Effects of unexpected visual motion on postural sway and motion sickness;2018;APPLIED ERGONOMICS;107;49,78
"Mousas, Christos; Anastasiou, Dimitris; Spantidi, Ourania";The effects of appearance and motion of virtual characters on emotional reactivity;2018;COMPUTERS IN HUMAN BEHAVIOR;203;76,61
"Pulijala, Y.; Ma, M.; Pears, M.; Peebles, D.; Ayoub, A.";An innovative virtual reality training tool for orthognathic surgery;2018;INTERNATIONAL JOURNAL OF ORAL AND MAXILLOFACIAL SURGERY;105;27,00
"Choi, Song-Woo; Lee, Siyeong; Seo, Min-Woo; Kang, Suk-Ju";Time Sequential Motion-to-Photon Latency Measurement System for Virtual Reality Head-Mounted Displays;2018;ELECTRONICS;10;24,00
"Odin, Anais; Faletto-Passy, Dominique; Assaban, Franck; Perennou, Dominic";Modulating the internal model of verticality by virtual reality and body-weight support walking: A pilot study;2018;ANNALS OF PHYSICAL AND REHABILITATION MEDICINE;49;32,93
"Halik, Lukasz; Smaczynski, Maciej";Geovisualisation of Relief in a Virtual Reality System on the Basis of Low-Level Aerial Imagery;2018;PURE AND APPLIED GEOPHYSICS;93;47,93
"Henshall, Gareth I.; Teahan, William J.; Ap Cenydd, Llyr";Virtual reality's effect on parameter optimisation for crowd-sourced procedural animation;2018;VISUAL COMPUTER;69;46,02
"Grubert, Jens; Itoh, Yuta; Moser, Kenneth; Swan, J. Edward, II";A Survey of Calibration Methods for Optical See-Through Head-Mounted Displays;2018;IEEE TRANSACTIONS ON VISUALIZATION AND COMPUTER GRAPHICS;148;38,90
"Sportillo, Daniele; Paljic, Alexis; Ojeda, Luciano";Get ready for automated driving using Virtual Reality;2018;ACCIDENT ANALYSIS AND PREVENTION;164;54,79
"Mihajlovic, Zeljka; Popovic, Sinisa; Brkic, Karla; Cosic, Kresimir";A system for head-neck rehabilitation exercises based on serious gaming and virtual reality;2018;MULTIMEDIA TOOLS AND APPLICATIONS;80;45,20
"Agethen, Philipp; Sekar, Viswa Subramanian; Gaisbauer, Felix; Pfeiffer, Thies; Otto, Michael; Rukzio, Enrico";Behavior Analysis of Human Locomotion in the Real World and Virtual Reality for the Manufacturing Industry;2018;ACM TRANSACTIONS ON APPLIED PERCEPTION;53;53,19
"Dietrichkeit, Mona; Flint, Kristina; Krieger, Eva; Grzella, Karsten; Nagel, Matthias; Moritz, Steffen";Two case studies from a virtual reality intervention for delusions: feasibility and preliminary evidence;2018;COGNITIVE BEHAVIOUR THERAPIST;16;40,34
"Roettl, Johanna; Terlutter, Ralf";The same video game in 2D, 3D or virtual reality - How does technology impact game evaluation and brand placements?;2018;PLOS ONE;367;48,10
"Zhai, Xiaojun; Eslami, Mohammad; Hussein, Ealaf Sayed; Filali, Maroua Salem; Shalaby, Salma Tarek; Amira, Abbes; Bensaali, Faycal; Dakua, Sarada; Abinahed, Julien; Al-Ansari, Abdulla; Ahmed, Ayman Z.";Real-time automated image segmentation technique for cerebral aneurysm on reconfigurable system-on-chip;2018;JOURNAL OF COMPUTATIONAL SCIENCE;52;41,61
"Alfaro, Luis; Linares, Ricardo; Herrera, Jose";Scientific Articles Exploration System Model based in Immersive Virtual Reality and Natural Language Processing Techniques;2018;INTERNATIONAL JOURNAL OF ADVANCED COMPUTER SCIENCE AND APPLICATIONS;23;32,96
"Grudzewski, Filip; Awdziej, Marcin; Mazurek, Grzegorz; Piotrowska, Katarzyna";Virtual reality in marketing communication - the impact on the message, technology and offer perception - empirical study;2018;ECONOMICS AND BUSINESS REVIEW;2;43,59
"Kolivand, Hoshang; El Rhalibi, Abdennour; Sunar, Mohd Shahrizal; Saba, Tanzila";ReVitAge: Realistic virtual heritage taking shadows and sky illumination into account;2018;JOURNAL OF CULTURAL HERITAGE;70;53,17
"Thies, Justus; Zollhofer, Michael; Stamminger, Marc; Theobalt, Christian; Niessner, Matthias";FaceVR: Real-Time Gaze-Aware Facial Reenactment in Virtual Reality;2018;ACM TRANSACTIONS ON GRAPHICS;221;59,22
"Porras-Garcia, Bruno; Ghita, Alexandra; Moreno, Manuel; Ferrer-Garcia, Marta; Bertomeu-Panisello, Paola; Serrano-Troncoso, Eduardo; Riva, Giuseppe; Dakanalis, Antonios; Achotegui-Loizate, Jose; Talarn-Caparros, Antoni; Andreu-Gracia, Alexis; Treasure, Janet; Martinez-Mallen, Esteve; Moreno-Perez, Elena; Gutierrez-Maldonado, Jose";Gender differences in attentional bias after owning a virtual avatar with increased weight;2018;ANNUAL REVIEW OF CYBERTHERAPY AND TELEMEDICINE;18;0,00
"Draelos, Mark; Keller, Brenton; Viehland, Christian; Carrasco-Zevallos, Oscar M.; Kuo, Anthony; Izatt, Joseph";Real-time visualization and interaction with static and live optical coherence tomography volumes in immersive virtual reality;2018;BIOMEDICAL OPTICS EXPRESS;93;44,92
"Kim, Mugeon; Lim, Sungjin; Choi, Geunseop; Kim, Youngmin; Kim, Hwi; Hahn, Joonku";Expanded Exit-Pupil Holographic Head-Mounted Display With High-Speed Digital Micromirror Device;2018;ETRI JOURNAL;47;29,14
"Abdullah, Maria; Shaikh, Zubair Ahmed";An Effective Virtual Reality based Remedy for Acrophobia;2018;INTERNATIONAL JOURNAL OF ADVANCED COMPUTER SCIENCE AND APPLICATIONS;23;32,96
"Ratamero, Erick Martins; Bellini, Dom; Dowson, Christopher G.; Romer, Rudolf A.";Touching proteins with virtual bare hands;2018;JOURNAL OF COMPUTER-AIDED MOLECULAR DESIGN;104;59,58
"Tham, Jason; Duin, Ann Hill; Gee, Laura; Ernst, Nathan; Abdelqader, Bilal; McGrath, Megan";Understanding Virtual Reality: Presence, Embodiment, and Professional Practice;2018;IEEE TRANSACTIONS ON PROFESSIONAL COMMUNICATION;48;43,54
"Zhang, Yingxue; Wang, Yingbin; Liu, Feiyang; Liu, Zizheng; Li, Yiming; Yang, Daiqin; Chen, Zhenzhong";Subjective Panoramic Video Quality Assessment Database for Coding Applications;2018;IEEE TRANSACTIONS ON BROADCASTING;83;30,73
"Palmisano, Stephen; Riecke, Bernhard E.";The search for instantaneous vection: An oscillating visual prime reduces vection onset latency;2018;PLOS ONE;367;48,10
"Cowie, Dorothy; McKenna, Aisling; Bremner, Andrew J.; Aspell, Jane E.";The development of bodily self-consciousness: changing responses to the Full Body Illusion in childhood;2018;DEVELOPMENTAL SCIENCE;135;64,90
"Pulijala, Yeshwanth; Ma, Minhua; Pears, Matthew; Peebles, David; Ayoub, Ashraf";Effectiveness of Immersive Virtual Reality in Surgical Training-A Randomized Control Trial;2018;JOURNAL OF ORAL AND MAXILLOFACIAL SURGERY;126;22,07
"Jung, Jinki; Ahn, Young Joong";Effects of interface on procedural skill transfer in virtual training: Lifeboat launching operation study;2018;COMPUTER ANIMATION AND VIRTUAL WORLDS;50;31,56
"Monteiro, Diego; Liang, Hai-Ning; Xu, Wenge; Brucker, Marvin; Nanjappan, Vijayakumar; Yue, Yong";Evaluating enjoyment, presence, and emulator sickness in VR games based on first- and third- person viewing perspectives;2018;COMPUTER ANIMATION AND VIRTUAL WORLDS;50;31,56
"Ghosh, Sarthak; Winston, Lauren; Panchal, Nishant; Kimura-Thollander, Philippe; Hotnog, Jeff; Cheong, Douglas; Reyes, Gabriel; Abowd, Gregory D.";NotifiVR: Exploring Interruptions and Notifications in Virtual Reality;2018;IEEE TRANSACTIONS ON VISUALIZATION AND COMPUTER GRAPHICS;148;38,90
"Waltemate, Thomas; Gall, Dominik; Roth, Daniel; Botsch, Mario; Latoschik, Marc Erich";The Impact of Avatar Personalization and Immersion on Virtual Body Ownership, Presence, and Emotional Response;2018;IEEE TRANSACTIONS ON VISUALIZATION AND COMPUTER GRAPHICS;148;38,90
"Zhang, Meng-Jia; Zhang, Kang; Li, Jie; Li, Yi-Na";Visual Exploration of 3D Geospatial Networks in a Virtual Reality Environment;2018;COMPUTER JOURNAL;67;39,54
"Fabroyir, Hadziq; Teng, Wei-Chung";Navigation in virtual environments using head-mounted displays: Allocentric vs. egocentric behaviors;2018;COMPUTERS IN HUMAN BEHAVIOR;203;76,61
"Li, Dan; Xiao, B. J.; Xia, J. Y.; Wang, K. R.";Preliminary realization of immersive EAST system using virtual reality;2018;FUSION ENGINEERING AND DESIGN;84;22,77
"Vosinakis, Spyros; Koutsabasis, Panayiotis";Evaluation of visual feedback techniques for virtual grasping with bare hands using Leap Motion and Oculus Rift;2018;VIRTUAL REALITY;51;59,84
"Seibert, Jonmichael; Shafer, Daniel M.";Control mapping in virtual reality: effects on spatial presence and controller naturalness;2018;VIRTUAL REALITY;51;59,84
"Proffitt, Rachel; Warren, Jessica; Lange, Belinda; Chang, Chien-Yen";SAFETY AND FEASIBILITY OF A FIRST-PERSON VIEW, FULL-BODY INTERACTION GAME FOR TELEREHABILITATION POST-STROKE;2018;INTERNATIONAL JOURNAL OF TELEREHABILITATION;7;35,70
"Carmen Juan, M. -; Garcia-Garcia, Inmaculada; Molla, Ramon; Lopez, Richard";Users' Perceptions Using Low-End and High-End Mobile-Rendered HMDs: A Comparative Study;2018;COMPUTERS;24;45,99
"Johnston, Angus P. R.; Rae, James; Ariotti, Nicholas; Bailey, Benjamin; Lilja, Andrew; Webb, Robyn; Ferguson, Charles; Maher, Sheryl; Davis, Thomas P.; Webb, Richard I.; McGhee, John; Parton, Robert G.";Journey to the centre of the cell: Virtual reality immersion into scientific data;2018;TRAFFIC;135;65,69
"Huber, Tobias; Wunderling, Tom; Paschold, Markus; Lang, Hauke; Kneist, Werner; Hansen, Christian";Highly immersive virtual reality laparoscopy simulation: development and future aspects;2018;INTERNATIONAL JOURNAL OF COMPUTER ASSISTED RADIOLOGY AND SURGERY;53;26,08
"Buttussi, Fabio; Chittaro, Luca";Effects of Different Types of Virtual Reality Display on Presence and Learning in a Safety Training Scenario;2018;IEEE TRANSACTIONS ON VISUALIZATION AND COMPUTER GRAPHICS;148;38,90
"Soomro, Shoaib R.; Urey, Hakan";Integrated 3D display and imaging using dual purpose passive screen and head-mounted projectors and camera;2018;OPTICS EXPRESS;281;37,16
"Kot, Tomas; Novak, Petr";Application of virtual reality in teleoperation of the military mobile robotic system TAROS;2018;INTERNATIONAL JOURNAL OF ADVANCED ROBOTIC SYSTEMS;51;34,52
"Wang Ze-wei; Yu You-guang; Yang Fu-zheng";Panoramic video display quality assessment based on HTC Vive;2018;CHINESE JOURNAL OF LIQUID CRYSTALS AND DISPLAYS;10;27,26
"Borrego, Adrian; Latorre, Jorge; Alcaniz, Mariano; Llorens, Roberto";Comparison of Oculus Rift and HTC Vive: Feasibility for Virtual Reality-Based Exploration, Navigation, Exergaming, and Rehabilitation;2018;GAMES FOR HEALTH JOURNAL;35;43,12
"Wu, Dai-Yun; Lin, Jih-Hsuan Tammy";Ways of Seeing Matter: The Impact of a Naturally Mapped Perceptual System on the Persuasive Effects of Immersive Virtual Reality Advertising;2018;COMMUNICATION RESEARCH REPORTS;39;28,42
Jurkojc, Jacek;Balance disturbances coefficient as a new value to assess ability to maintain balance on the basis of FFT curves;2018;ACTA OF BIOENGINEERING AND BIOMECHANICS;28;21,25
Hahn, Jim F.;Virtual reality learning environments Development of multi-user reference support experiences;2018;INFORMATION AND LEARNING SCIENCE;32;58,42
"Czub, Marcin; Piskorz, Joanna";Body Movement Reduces Pain Intensity in Virtual Reality-Based Analgesia;2018;INTERNATIONAL JOURNAL OF HUMAN-COMPUTER INTERACTION;76;70,94
Lucas, Jason;IMMERSIVE VR IN THE CONSTRUCTION CLASSROOM TO INCREASE STUDENT UNDERSTANDING OF SEQUENCE, ASSEMBLY, AND SPACE OF WOOD FRAME CONSTRUCTION;2018;JOURNAL OF INFORMATION TECHNOLOGY IN CONSTRUCTION;49;63,27
"Keiriz, Johnson J. G.; Zhan, Liang; Ajilore, Olusola; Leow, Alex D.; Forbes, Angus G.";NeuroCave: A web-based immersive visualization platform for exploring connectome datasets;2018;NETWORK NEUROSCIENCE;22;71,69
"Yu, Difeng; Liang, Hai-Ning; Lu, Feiyu; Nanjappan, Vijayakumar; Papangelis, Konstantinos; Wang, Wei";Target Selection in Head-Mounted Display Virtual Reality Environments;2018;JOURNAL OF UNIVERSAL COMPUTER SCIENCE;54;37,95
"Zou, Wenjie; Yang, Fuzheng; Zhang, Wei; Li, Yi; Yu, Haoping";A Framework for Assessing Spatial Presence of Omnidirectional Video on Virtual Reality Device;2018;IEEE ACCESS;158;45,40
"Louison, Cephise; Ferlay, Fabien; Mestre, Daniel R.";Spatialized Vibrotactile Feedback Improves Goal-Directed Movements in Cluttered Virtual Environments;2018;INTERNATIONAL JOURNAL OF HUMAN-COMPUTER INTERACTION;76;70,94
"Hoyano, Kengo; Ogoshi, Yasuhiro";Effect of Social Facilitation without Presence of Others on Swallowing Function and Eating Behavior;2018;SENSORS AND MATERIALS;29;22,66
"Fairen, M; Moyes, J; Insa, E";VR4Health: Personalized teaching and learning anatomy using VR;2020;JOURNAL OF MEDICAL SYSTEMS;89;34,46
"Bhargava, A; Lucaites, KM; Hartman, LS; Solini, H; Bertrand, JW; Robb, AC; Pagano, CC; Babu, SV";Revisiting affordance perception in contemporary virtual reality;2020;VIRTUAL REALITY;51;59,84
"Feldstein, IT; Dyszak, GN";Road crossing decisions in real and virtual environments: A comparative study on simulator validity;2020;ACCIDENT ANALYSIS AND PREVENTION;164;54,79
"Lou, JW; Wang, YM; Nduka, C; Hamedi, M; Mavridou, I; Wang, FY; Yu, H";Realistic Facial Expression Reconstruction for VR HMD Users;2020;IEEE TRANSACTIONS ON MULTIMEDIA;135;29,21
"Fan, CL; Yen, SC; Huang, CY; Hsu, CH";Optimizing Fixation Prediction Using Recurrent Neural Networks for 360 degrees Video Streaming in Head-Mounted Virtual Reality;2020;IEEE TRANSACTIONS ON MULTIMEDIA;135;29,21
"Almajid, R; Tucker, C; Wright, WG; Vasudevan, E; Keshner, E";Visual dependence affects the motor behavior of older adults during the Timed Up and Go (TUG) test;2020;ARCHIVES OF GERONTOLOGY AND GERIATRICS;82;42,57
Yildirim, Caglar;Don't make me sick: investigating the incidence of cybersickness in commercial virtual reality headsets;2020;VIRTUAL REALITY;51;59,84
"Mattila, Osmo; Korhonen, Arto; Poyry, Essi; Hauru, Kaisa; Holopainen, Jani; Parvinen, Petri";Restoration in a virtual reality forest environment;2020;COMPUTERS IN HUMAN BEHAVIOR;203;76,61
"Hornsey, Rebecca L.; Hibbard, Paul B.; Scarfe, Peter";Size and shape constancy in consumer virtual reality;2020;BEHAVIOR RESEARCH METHODS;148;57,74
"Rueger, Christoph; Moosburnerl, Simon; Sauer, Igor M.";Extended reality technologies for support of surgical workflows;2020;CHIRURG;48;19,13
"Fernandez Herrero, Jorge; Lorenzo, Gonzalo";An immersive virtual reality educational intervention on people with autism spectrum disorders (ASD) for the development of communication skills and problem solving;2020;EDUCATION AND INFORMATION TECHNOLOGIES;48;57,84
"Hu, Qiang; Zhou, Jun; Zhang, Xiaoyun; Shi, Zhiru; Gao, Zhiyong";Viewport-adaptive 360-degree video coding;2020;MULTIMEDIA TOOLS AND APPLICATIONS;80;45,20
"Virtanen, Juho-Pekka; Daniel, Sylvie; Turppa, Tuomas; Zhu, Lingli; Julin, Arttu; Hyyppa, Hannu; Hyyppa, Juha";Interactive dense point clouds in a game engine;2020;ISPRS JOURNAL OF PHOTOGRAMMETRY AND REMOTE SENSING;155;64,75
"Hu, Zhiming; Li, Sheng; Zhang, Congyi; Yi, Kangrui; Wang, Guoping; Manocha, Dinesh";DGaze: CNN-Based Gaze Prediction in Dynamic Scenes;2020;IEEE TRANSACTIONS ON VISUALIZATION AND COMPUTER GRAPHICS;148;38,90
"Peck, Tabitha C.; Sockol, Laura E.; Hancock, Sarah M.";Mind the Gap: The Underrepresentation of Female Participants and Authors in Virtual Reality Research;2020;IEEE TRANSACTIONS ON VISUALIZATION AND COMPUTER GRAPHICS;148;38,90
"Meng, Xiaoxu; Du, Ruofei; Varshney, Amitabh";Eye-dominance-guided Foveated Rendering;2020;IEEE TRANSACTIONS ON VISUALIZATION AND COMPUTER GRAPHICS;148;38,90
"Gonzalez-Franco, Mar; Steed, Anthony; Hoogendyk, Steve; Ofek, Eyal";Using Facial Animation to Increase the Enfacement Illusion and Avatar Self-Identification;2020;IEEE TRANSACTIONS ON VISUALIZATION AND COMPUTER GRAPHICS;148;38,90
"Mirzaei, Mohammadreza; Kan, Peter; Kaufmann, Hannes";EarVR: Using Ear Haptics in Virtual Reality for Deaf and Hard-of-Hearing People;2020;IEEE TRANSACTIONS ON VISUALIZATION AND COMPUTER GRAPHICS;148;38,90
"Spjut, Josef; Boudaoud, Ben; Kim, Jonghyun; Greer, Trey; Albert, Rachel; Stengel, Michael; Aksit, Kaan; Luebke, David";Toward Standardized Classification of Foveated Displays;2020;IEEE TRANSACTIONS ON VISUALIZATION AND COMPUTER GRAPHICS;148;38,90
"Tibaldi, A.; Bonali, F. L.; Vitello, F.; Delage, E.; Nomikou, P.; Antoniou, V; Becciani, U.; de Vries, B. Van Wyk; Krokos, M.; Whitworth, M.";Real world-based immersive Virtual Reality for research, teaching and communication in volcanology;2020;BULLETIN OF VOLCANOLOGY;98;69,36
Han, Insook;Immersive virtual field trips and elementary students' perceptions;2020;BRITISH JOURNAL OF EDUCATIONAL TECHNOLOGY;102;53,07
"Ha, Hyeyoung; Kwak, Youngshin; Kim, Hyosun; Seo, Young-jun";Discomfort luminance level of head-mounted displays depending on the adapting luminance;2020;COLOR RESEARCH AND APPLICATION;65;34,01
"Hagio, Shota; Kouzaki, Motoki";Visuomotor Transformation for the Lead Leg Affects Trail Leg Trajectories During Visually Guided Crossing Over a Virtual Obstacle in Humans;2020;FRONTIERS IN NEUROSCIENCE;117;69,20
"Cook, Matt; Grime, John";Motivations, design, and preliminary testing for a 360 degrees vision simulator;2020;VIRTUAL REALITY;51;59,84
"Tai, Tzu-Yu; Chen, Howard Hao-Jan; Todd, Graeme";The impact of a virtual reality app on adolescent EFL learners' vocabulary learning;2020;COMPUTER ASSISTED LANGUAGE LEARNING;54;60,62
"Juliano, Julia M.; Liew, Sook-Lei";Transfer of motor skill between virtual reality viewed using a head-mounted display and conventional screen environments;2020;JOURNAL OF NEUROENGINEERING AND REHABILITATION;102;57,54
"Lavoie, Raymond; Main, Kelley; King, Corey; King, Danielle";Virtual experience, real consequences: the potential negative emotional consequences of virtual reality gameplay;2020;VIRTUAL REALITY;51;59,84
"Wang, Qiyue; Jiao, Wenhua; Yu, Rui; Johnson, Michael T.; Zhang, YuMing";Virtual Reality Robot-Assisted Welding Based on Human Intention Recognition;2020;IEEE TRANSACTIONS ON AUTOMATION SCIENCE AND ENGINEERING;93;20,60
Roquet, Paul;Empathy for the game master: how virtual reality creates empathy for those seen to be creating VR;2020;JOURNAL OF VISUAL CULTURE;28;27,60
"Suencksen, Matthias; Bott, Oliver Johannes; Dresing, Klaus; Teistler, Michael";Simulation of scattered radiation during intraoperative imaging in a virtual reality learning environment;2020;INTERNATIONAL JOURNAL OF COMPUTER ASSISTED RADIOLOGY AND SURGERY;53;26,08
"Penumudi, Sai Akhil; Kuppam, Veera Aneesh; Kim, Jeong Ho; Hwang, Jaejin";The effects of target location on musculoskeletal load, task performance, and subjective discomfort during virtual reality interactions;2020;APPLIED ERGONOMICS;107;49,78
"Ganni, Sandeep; Li, Meng; Botden, Sanne M. B. I.; Nayak, Samir Ranjan; Ganni, Bhaskar Rao; Rutkowski, Anne-Francoise; Goossens, Richard H. M.; Jakimowicz, Jack";Virtual Operating Room Simulation Setup (VORSS) for Procedural Training in Minimally Invasive Surgery - a Pilot Study;2020;INDIAN JOURNAL OF SURGERY;23;16,75
"Park, Kyudong; Kim, Dohyeon; Han, Sung H.";Usability of the size, spacing, and operation method of virtual buttons with virtual hand on head-mounted displays;2020;INTERNATIONAL JOURNAL OF INDUSTRIAL ERGONOMICS;84;48,51
"Hejtmanek, Lukas; Starrett, Michael; Ferrer, Emilio; Ekstrom, Arne D.";How Much of What We Learn in Virtual Reality Transfers to Real-World Navigation?;2020;MULTISENSORY RESEARCH;52;63,32
Kang, Hyunjeong;Impact of VR on impulsive desire for a destination;2020;JOURNAL OF HOSPITALITY AND TOURISM MANAGEMENT;45;77,62
"Al Janabi, Hasaneen Fathy; Aydin, Abdullatif; Palaneer, Sharanya; Macchione, Nicola; Al-Jabir, Ahmed; Khan, Muhammad Shamim; Dasgupta, Prokar; Ahmed, Kamran";Effectiveness of the HoloLens mixed-reality headset in minimally invasive surgery: a simulation-based feasibility study;2020;SURGICAL ENDOSCOPY AND OTHER INTERVENTIONAL TECHNIQUES;159;28,87
"Lee, Sungjin; Hong, Min; Kim, Sungyeup; Choi, Seong Jun";Effect Analysis of Virtual-reality Vestibular Rehabilitation based on Eye-tracking;2020;KSII TRANSACTIONS ON INTERNET AND INFORMATION SYSTEMS;29;34,31
"Pollard, Kimberly A.; Oiknine, Ashley H.; Files, Benjamin T.; Sinatra, Anne M.; Patton, Debbie; Ericson, Mark; Thomas, Jerald; Khooshabeh, Peter";Level of immersion affects spatial learning in virtual environments: results of a three-condition within-subjects study with long intersession intervals;2020;VIRTUAL REALITY;51;59,84
